lang,topic,topic_in_English
ja,ザ・キャッスル,The Castle (video game)
en,The Castle (video game),The Castle (video game)
arz,القلعه,The Castle (video game)
en,The Awful Green Things from Outer Space,The Awful Green Things from Outer Space
en,Supremacy: Your Will Be Done,Supremacy: Your Will Be Done
it,Supremacy (videogioco),Supremacy: Your Will Be Done
pl,Supremacy (gra komputerowa),Supremacy: Your Will Be Done
fr,Supremacy: Your Will Be Done,Supremacy: Your Will Be Done
arz,سوپريماسي: يور ويل ب دون,Supremacy: Your Will Be Done
fi,Supremacy: Your Will Be Done,Supremacy: Your Will Be Done
lld,Supremacy: Your Will Be Done,Supremacy: Your Will Be Done
en,The Dam Busters (video game),The Dam Busters (video game)
nl,The Dam Busters (computerspel),The Dam Busters (video game)
en,Brutal: Paws of Fury,Brutal: Paws of Fury
ru,Brutal: Paws of Fury,Brutal: Paws of Fury
es,Brutal: Paws of Fury,Brutal: Paws of Fury
it,Brutal: Paws of Fury,Brutal: Paws of Fury
fr,Brutal: Paws of Fury,Brutal: Paws of Fury
lld,Brutal: Paws of Fury,Brutal: Paws of Fury
nl,Brutal: Paws of Fury,Brutal: Paws of Fury
sv,Brutal: Paws of Fury,Brutal: Paws of Fury
en,Sonic Blast Man,Sonic Blast Man
ja,ソニックブラストマン,Sonic Blast Man
fr,Sonic Blast Man,Sonic Blast Man
it,Sonic Blast Man,Sonic Blast Man
es,Sonic Blast Man,Sonic Blast Man
pt,Sonic Blast Man,Sonic Blast Man
ko,소닉 블래스트맨,Sonic Blast Man
sv,Sonic Blast Man,Sonic Blast Man
arz,سونيك بلاست مان,Sonic Blast Man
lld,Sonic Blast Man,Sonic Blast Man
en,Dimahoo,Dimahoo
es,Dimahoo,Dimahoo
fr,Dimahoo,Dimahoo
it,Dimahoo,Dimahoo
lld,Dimahoo,Dimahoo
en,Silent Bomber,Silent Bomber
ja,サイレントボマー,Silent Bomber
en,Biomotor Unitron,Biomotor Unitron
lld,Biomotor Unitron,Biomotor Unitron
hu,Biomotor Unitron,Biomotor Unitron
en,StarCraft: The Board Game,StarCraft: The Board Game
ru,StarCraft: The Board Game,StarCraft: The Board Game
de,StarCraft – Das Brettspiel,StarCraft: The Board Game
en,Eets,Eets
ru,Eets,Eets
fr,Eets,Eets
lld,Eets,Eets
en,Puzzle Challenge: Crosswords and More,Puzzle Challenge: Crosswords and More
arz,پوزل تشالينجي: كروسوردس اند مور,Puzzle Challenge: Crosswords and More
lld,Puzzle Challenge: Crosswords and More,Puzzle Challenge: Crosswords and More
en,Taiko no Tatsujin,Taiko no Tatsujin
ja,太鼓の達人,Taiko no Tatsujin
zh,太鼓之達人系列,Taiko no Tatsujin
es,Taiko no Tatsujin,Taiko no Tatsujin
fr,Taiko no Tatsujin,Taiko no Tatsujin
ru,Taiko no Tatsujin,Taiko no Tatsujin
ko,태고의 달인,Taiko no Tatsujin
de,Taiko no Tatsujin,Taiko no Tatsujin
it,Taiko no Tatsujin,Taiko no Tatsujin
th,ไทโกะโนะทัตสึจิง,Taiko no Tatsujin
fi,Taiko no Tatsujin,Taiko no Tatsujin
zh-yue,太鼓之達人,Taiko no Tatsujin
zh-classical,太鼓達人,Taiko no Tatsujin
en,Cry Havoc (board game),Cry Havoc (board game)
en,Iron Realms Entertainment,Iron Realms Entertainment
en,Incubation: Time Is Running Out,Incubation: Time Is Running Out
de,Incubation: Battle Isle Phase Vier,Incubation: Time Is Running Out
ru,Incubation: Time Is Running Out,Incubation: Time Is Running Out
fr,Incubation: Time Is Running Out,Incubation: Time Is Running Out
cs,Incubation,Incubation: Time Is Running Out
it,Incubation: Time Is Running Out,Incubation: Time Is Running Out
lld,Incubation: Time Is Running Out,Incubation: Time Is Running Out
uk,Incubation: Time is Running Out,Incubation: Time Is Running Out
en,The Italian Job (2003 video game),The Italian Job (2003 video game)
it,The Italian Job (videogioco 2003),The Italian Job (2003 video game)
fr,Braquage à l'italienne (jeu vidéo),The Italian Job (2003 video game)
tr,"The Italian Job (video oyunu, 2003)",The Italian Job (2003 video game)
fi,The Italian Job (vuoden 2003 videopeli),The Italian Job (2003 video game)
no,"The Italian Job (videospill, 2003)",The Italian Job (2003 video game)
az,"İtalyansayağı oğurluq (video oyun, 2003)",The Italian Job (2003 video game)
lld,The Italian Job,The Italian Job (2003 video game)
pl,The Italian Job: L.A. Heist,The Italian Job (2003 video game)
en,Ninja Gaiden II,Ninja Gaiden II
ja,NINJA GAIDEN 2,Ninja Gaiden II
ru,"Ninja Gaiden II (игра, 2008)",Ninja Gaiden II
es,Ninja Gaiden II (videojuego de 2008),Ninja Gaiden II
zh,忍者外傳2,Ninja Gaiden II
fr,Ninja Gaiden II,Ninja Gaiden II
it,Ninja Gaiden 2,Ninja Gaiden II
fi,Ninja Gaiden II,Ninja Gaiden II
lld,Ninja Gaiden II,Ninja Gaiden II
arz,نينجا جايدن II,Ninja Gaiden II
en,The Future of War,The Future of War
es,The Future of War,The Future of War
it,The Future of War,The Future of War
pl,The Future of War,The Future of War
en,Fate: Gates of Dawn,Fate: Gates of Dawn
de,Fate: Gates of Dawn,Fate: Gates of Dawn
lld,Fate: Gates of Dawn,Fate: Gates of Dawn
en,Enduro (video game),Enduro (video game)
pt,Enduro (jogo eletrônico),Enduro (video game)
es,Enduro (videojuego),Enduro (video game)
it,Enduro (videogioco),Enduro (video game)
de,Enduro (Computerspiel),Enduro (video game)
fr,Enduro (jeu vidéo),Enduro (video game)
lld,Enduro,Enduro (video game)
en,Roadsters (video game),Roadsters (video game)
es,Roadsters (videojuego),Roadsters (video game)
fr,Roadsters,Roadsters (video game)
lld,Roadsters,Roadsters (video game)
ja,金色のコルダ,La Corda d'Oro
en,La Corda d'Oro,La Corda d'Oro
zh,金色琴弦,La Corda d'Oro
es,La Corda d'Oro,La Corda d'Oro
it,La corda d'oro,La Corda d'Oro
ko,금색의 코르다,La Corda d'Oro
ru,La Corda d’Oro,La Corda d'Oro
fr,La Corde d'or,La Corda d'Oro
