lang,topic,topic_in_English
en,Q (game engine),Q (game engine)
en,Jambo! Safari,Jambo! Safari
ja,ジャンボサファリ,Jambo! Safari
en,Ricky C,Ricky C
arz,ريكى سى,Ricky C
en,Bucky O'Hare (NES video game),Bucky O'Hare (NES video game)
ru,Bucky O’Hare,Bucky O'Hare (NES video game)
es,Bucky O'Hare (videojuego),Bucky O'Hare (NES video game)
fr,Bucky O'Hare (jeu vidéo),Bucky O'Hare (NES video game)
sv,Bucky O'Hare (NES-spel),Bucky O'Hare (NES video game)
lld,Bucky O'Hare,Bucky O'Hare (NES video game)
nl,Bucky O'Hare,Bucky O'Hare (NES video game)
en,"Art Co., Ltd","Art Co., Ltd"
ja,アール (ゲーム会社),"Art Co., Ltd"
fr,Art Co.,"Art Co., Ltd"
en,Lords of Creation (role-playing game),Lords of Creation (role-playing game)
en,No Fear Downhill Mountain Biking,No Fear Downhill Mountain Biking
fr,No Fear Downhill Mountain Biking,No Fear Downhill Mountain Biking
lld,No Fear Downhill Mountain Biking,No Fear Downhill Mountain Biking
en,Chris Taylor's Kings and Castles,Chris Taylor's Kings and Castles
en,Kinect Sports,Kinect Sports
ru,Kinect Sports,Kinect Sports
es,Kinect Sports,Kinect Sports
pt,Kinect Sports,Kinect Sports
de,Kinect Sports,Kinect Sports
pl,Kinect Sports,Kinect Sports
zh,Kinect 運動大會,Kinect Sports
fr,Kinect Sports,Kinect Sports
ja,Kinect スポーツ,Kinect Sports
ko,키넥트 스포츠,Kinect Sports
sv,Kinect Sports,Kinect Sports
fi,Kinect Sports,Kinect Sports
hy,Kinect Sports,Kinect Sports
no,Kinect Sports,Kinect Sports
wuu,Kinect运动大会,Kinect Sports
lld,Kinect Sports,Kinect Sports
en,Street Fighter X Tekken,Street Fighter X Tekken
ja,ストリートファイター X 鉄拳,Street Fighter X Tekken
es,Street Fighter X Tekken,Street Fighter X Tekken
ru,Street Fighter X Tekken,Street Fighter X Tekken
pt,Street Fighter × Tekken,Street Fighter X Tekken
fr,Street Fighter X Tekken,Street Fighter X Tekken
it,Street Fighter X Tekken,Street Fighter X Tekken
zh,快打旋風 X 鐵拳,Street Fighter X Tekken
ko,스트리트 파이터 X 철권,Street Fighter X Tekken
th,สตรีทไฟเตอร์ X เทคเคน,Street Fighter X Tekken
pl,Street Fighter X Tekken,Street Fighter X Tekken
vi,Street Fighter X Tekken,Street Fighter X Tekken
nl,Street Fighter X Tekken,Street Fighter X Tekken
hu,Street Fighter X Tekken,Street Fighter X Tekken
fi,Street Fighter X Tekken,Street Fighter X Tekken
lld,Street Fighter X Tekken,Street Fighter X Tekken
lv,Street Fighter X Tekken,Street Fighter X Tekken
arz,ستريت فيجتير اكس تيكين,Street Fighter X Tekken
en,Washington's War,Washington's War
en,Daxter,Daxter
fr,Daxter (personnage),Daxter
en,Night Howlers,Night Howlers
en,Global StarCraft II Team League,Global StarCraft II Team League
ru,Global StarCraft II Team League,Global StarCraft II Team League
ko,글로벌 스타크래프트 II 팀 리그,Global StarCraft II Team League
pt,GOMTV Global StarCraft II Team League,Global StarCraft II Team League
en,Transformers Universe (video game),Transformers Universe (video game)
ru,Transformers: Universe (игра),Transformers Universe (video game)
lld,Transformers Universe,Transformers Universe (video game)
en,Nicktoons Movin',Nicktoons Movin'
lld,Nicktoons Movin',Nicktoons Movin'
en,Cybersoft (video game company),Cybersoft (video game company)
en,The Penguins of Madagascar: Dr. Blowhole Returns – Again!,The Penguins of Madagascar: Dr. Blowhole Returns – Again!
