lang,topic,topic_in_English
en,Mechanized Attack,Mechanized Attack
ru,Mechanized Attack,Mechanized Attack
lld,Mechanized Attack,Mechanized Attack
en,Superstar Ice Hockey,Superstar Ice Hockey
en,Ray Tracers,Ray Tracers
lld,Ray Tracers,Ray Tracers
en,Ancients 1: Death Watch,Ancients 1: Death Watch
tr,Ancients 1: Death Watch,Ancients 1: Death Watch
en,Battlemorph,Battlemorph
fr,Battlemorph,Battlemorph
ru,Battlemorph,Battlemorph
nl,Battlemorph,Battlemorph
en,Dracula the Undead (video game),Dracula the Undead (video game)
de,Dracula the Undead,Dracula the Undead (video game)
lld,Dracula the Undead,Dracula the Undead (video game)
en,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
ru,Call of Duty: Modern Warfare 2 (2009),Call of Duty: Modern Warfare 2
fr,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
ja,コール オブ デューティ モダン・ウォーフェア2,Call of Duty: Modern Warfare 2
it,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
es,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
de,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
pt,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
zh,決勝時刻：現代戰爭2,Call of Duty: Modern Warfare 2
tr,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
pl,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
id,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
uk,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
nl,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
vi,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
cs,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
fi,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
sv,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
simple,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
hu,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
ko,콜 오브 듀티: 모던 워페어 2,Call of Duty: Modern Warfare 2
ro,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
no,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
th,คอลล์ออฟดิวตี: มอเดิร์นวอร์แฟร์ 2,Call of Duty: Modern Warfare 2
el,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
da,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
sr,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
