lang,topic,topic_in_English
en,David Beckham Soccer,David Beckham Soccer
it,David Beckham Soccer,David Beckham Soccer
fr,David Beckham Soccer,David Beckham Soccer
vi,David Beckham Soccer,David Beckham Soccer
lld,David Beckham Soccer,David Beckham Soccer
en,UDraw GameTablet,UDraw GameTablet
de,UDraw,UDraw GameTablet
fr,UDraw GameTablet,UDraw GameTablet
fi,Udraw,UDraw GameTablet
en,Monkey Quest,Monkey Quest
es,Monkey Quest,Monkey Quest
en,Ribbon Hero 2,Ribbon Hero 2
id,Ribbon Hero 2,Ribbon Hero 2
en,Shanghai Kid,Shanghai Kid
en,Ultra League,Ultra League
en,Al Escudero,Al Escudero
en,Flash Point: Fire Rescue,Flash Point: Fire Rescue
en,DJMax Technika Tune,DJMax Technika Tune
ja,DJMAX TECHNIKA TUNE,DJMax Technika Tune
ko,DJMAX TECHNIKA TUNE,DJMax Technika Tune
lld,DJMax Technika Tune,DJMax Technika Tune
en,Project X Zone,Project X Zone
ja,PROJECT X ZONE,Project X Zone
es,Project × Zone,Project X Zone
zh,穿越领域计划,Project X Zone
ru,Project X Zone,Project X Zone
pt,Project X Zone,Project X Zone
it,Project X Zone,Project X Zone
fr,Project X Zone,Project X Zone
arz,پروچيكت اكس زون,Project X Zone
ceb,Project X Zone,Project X Zone
lld,Project X Zone,Project X Zone
en,"Kheyrabad, Darmian","Kheyrabad, Darmian"
arz,خیر اباد (قسم جزیك الريفى),"Kheyrabad, Darmian"
zh-min-nan,Kheyrabad (Darmian),"Kheyrabad, Darmian"
en,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
ru,Assassin’s Creed III: Liberation,Assassin's Creed III: Liberation
fr,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
it,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
de,Assassin’s Creed III: Liberation,Assassin's Creed III: Liberation
es,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
ja,アサシン クリード III レディ リバティ,Assassin's Creed III: Liberation
pt,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
pl,Assassin’s Creed III: Liberation,Assassin's Creed III: Liberation
zh,刺客教條III：自由使命,Assassin's Creed III: Liberation
nl,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
tr,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
cs,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
uk,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
fi,Assassin’s Creed III: Liberation,Assassin's Creed III: Liberation
sv,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
ro,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
th,อัสแซสซินส์ครีด 3: ลิเบอเรชัน,Assassin's Creed III: Liberation
ca,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
ko,어쌔신 크리드 III: 리버레이션,Assassin's Creed III: Liberation
et,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
lld,Assassin's Creed III: Liberation,Assassin's Creed III: Liberation
arz,اساسينس كريد اي: ليبيراتيون,Assassin's Creed III: Liberation
uz,Assassin’s Creed III: Liberation,Assassin's Creed III: Liberation
en,Disney Digital Network,Disney Digital Network
pt,Maker Studios,Disney Digital Network
es,Disney Digital Network,Disney Digital Network
de,Disney Digital Network,Disney Digital Network
fr,Disney Digital Network,Disney Digital Network
en,The Ville (video game),The Ville (video game)
en,Europa Universalis IV,Europa Universalis IV
ru,Europa Universalis IV,Europa Universalis IV
zh,歐陸風雲IV,Europa Universalis IV
fr,Europa Universalis 4,Europa Universalis IV
es,Europa Universalis IV,Europa Universalis IV
pl,Europa Universalis IV,Europa Universalis IV
it,Europa Universalis IV,Europa Universalis IV
tr,Europa Universalis IV,Europa Universalis IV
ja,Europa Universalis IV日本語版,Europa Universalis IV
uk,Europa Universalis IV,Europa Universalis IV
pt,Europa Universalis IV,Europa Universalis IV
de,Europa Universalis IV,Europa Universalis IV
nl,Europa Universalis IV,Europa Universalis IV
cs,Europa Universalis IV,Europa Universalis IV
hu,Europa Universalis IV,Europa Universalis IV
fi,Europa Universalis IV,Europa Universalis IV
sv,Europa Universalis IV,Europa Universalis IV
ko,유로파 유니버설리스 4,Europa Universalis IV
vi,Europa Universalis IV,Europa Universalis IV
id,Europa Universalis IV,Europa Universalis IV
da,Europa Universalis IV,Europa Universalis IV
el,Europa Universalis IV,Europa Universalis IV
no,Europa Universalis IV,Europa Universalis IV
sr,Europa Universalis IV,Europa Universalis IV
sk,Europa Universalis IV,Europa Universalis IV
ca,Europa Universalis IV,Europa Universalis IV
ka,Europa Universalis IV,Europa Universalis IV
nn,Europa Universalis IV,Europa Universalis IV
gl,Europa Universalis IV,Europa Universalis IV
wuu,欧陆风云IV,Europa Universalis IV
mzn,یوروپا یونیورسالیس ۴,Europa Universalis IV
la,Europa Universalis IV,Europa Universalis IV
arz,يوروبا يونيفرساليس 4,Europa Universalis IV
lld,Europa Universalis IV,Europa Universalis IV
simple,Europa Universalis IV,Europa Universalis IV
en,CD Projekt,CD Projekt
de,CD Projekt,CD Projekt
ru,CD Projekt,CD Projekt
fr,CD Projekt,CD Projekt
zh,CD Projekt,CD Projekt
pl,Grupa kapitałowa CD Projekt,CD Projekt
ja,CD Projekt,CD Projekt
pt,CD Projekt,CD Projekt
es,CD Projekt,CD Projekt
it,CD Projekt,CD Projekt
tr,CD Projekt,CD Projekt
uk,CD Projekt,CD Projekt
cs,CD Projekt,CD Projekt
fi,CD Projekt,CD Projekt
nl,CD Projekt,CD Projekt
vi,CD Projekt,CD Projekt
sv,CD Projekt,CD Projekt
ko,CD 프로젝트,CD Projekt
id,CD Projekt Red,CD Projekt
da,CD Projekt,CD Projekt
no,CD Projekt,CD Projekt
simple,CD Projekt,CD Projekt
lt,CD Projekt,CD Projekt
sr,CD Projekt,CD Projekt
ca,CD Projekt,CD Projekt
wuu,CD Projekt,CD Projekt
gl,CD Projekt,CD Projekt
arz,سى دى پروچكت,CD Projekt
ms,CD Projekt,CD Projekt
be-tarask,CD Projekt,CD Projekt
azb,سی‌دی پروجکت,CD Projekt
ja,レイメイズ,Raimais
en,Raimais,Raimais
it,Raimais,Raimais
lld,Raimais,Raimais
en,Golden Time (novel series),Golden Time (novel series)
es,Golden Time,Golden Time (novel series)
ja,ゴールデンタイム (小説),Golden Time (novel series)
zh,青春紀行,Golden Time (novel series)
fr,Golden Time,Golden Time (novel series)
ru,Golden Time,Golden Time (novel series)
it,Golden Time,Golden Time (novel series)
de,Golden Time (Light Novel),Golden Time (novel series)
pt,Golden Time,Golden Time (novel series)
tr,Golden Time,Golden Time (novel series)
pl,Golden Time,Golden Time (novel series)
uk,Золота пора (ранобе),Golden Time (novel series)
ko,골든타임 (소설),Golden Time (novel series)
ckb,کاتی زێڕین,Golden Time (novel series)
en,Hearthstone,Hearthstone
ru,Hearthstone,Hearthstone
zh,炉石传说,Hearthstone
fr,Hearthstone,Hearthstone
de,Hearthstone: Heroes of Warcraft,Hearthstone
es,Hearthstone,Hearthstone
ja,ハースストーン,Hearthstone
wuu,炉石传说,Hearthstone
pt,Hearthstone,Hearthstone
it,Hearthstone,Hearthstone
pl,Hearthstone,Hearthstone
uk,Hearthstone,Hearthstone
vi,Hearthstone,Hearthstone
ko,하스스톤,Hearthstone
hu,Hearthstone: Heroes of Warcraft,Hearthstone
fi,Hearthstone,Hearthstone
cs,Hearthstone,Hearthstone
tr,Hearthstone,Hearthstone
nl,Hearthstone: Heroes of Warcraft,Hearthstone
sv,Hearthstone: Heroes of Warcraft,Hearthstone
da,Hearthstone: Heroes of Warcraft,Hearthstone
no,Hearthstone,Hearthstone
zh-yue,爐石戰記,Hearthstone
sr,Hearthstone,Hearthstone
ro,Hearthstone: Heroes of Warcraft,Hearthstone
bg,Hearthstone,Hearthstone
ca,Hearthstone,Hearthstone
sk,Hearthstone: Heroes of Warcraft,Hearthstone
uz,Hearthstone,Hearthstone
gl,Hearthstone,Hearthstone
lt,Hearthstone,Hearthstone
lld,Hearthstone,Hearthstone
lv,Hearthstone,Hearthstone
et,Hearthstone: Heroes of Warcraft,Hearthstone
eu,Hearthstone,Hearthstone
kk,Hearthstone: Heroes of Warcraft,Hearthstone
arz,هيرث ستين هيروس اوف ووركرافت,Hearthstone
en,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
es,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
pt,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
it,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
fr,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
tr,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
ja,ライデン (モータルコンバット),Raiden (Mortal Kombat)
pl,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
fi,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
uk,Райден (Mortal Kombat),Raiden (Mortal Kombat)
vi,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
nl,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
hu,Raiden,Raiden (Mortal Kombat)
sq,Raiden,Raiden (Mortal Kombat)
az,Reyden (Mortal Kombat),Raiden (Mortal Kombat)
pnb,ریڈن (مارٹل کامبیٹ),Raiden (Mortal Kombat)
simple,Raiden (Mortal Kombat),Raiden (Mortal Kombat)
en,Haptic suit,Haptic suit
zh,触觉反馈套装,Haptic suit
ca,Vestit hàptic,Haptic suit
en,Trickstar Games,Trickstar Games
en,Gomo (video game),Gomo (video game)
arz,جومو (ڤيديو جيم),Gomo (video game)
en,NFL Fever 2003,NFL Fever 2003
en,George MacDonald (game designer),George MacDonald (game designer)
en,Mortal Kombat X,Mortal Kombat X
ru,Mortal Kombat X,Mortal Kombat X
es,Mortal Kombat X,Mortal Kombat X
it,Mortal Kombat X,Mortal Kombat X
pt,Mortal Kombat X,Mortal Kombat X
fr,Mortal Kombat X,Mortal Kombat X
de,Mortal Kombat X,Mortal Kombat X
tr,Mortal Kombat X,Mortal Kombat X
zh,真人快打X,Mortal Kombat X
uk,Mortal Kombat X,Mortal Kombat X
pl,Mortal Kombat X,Mortal Kombat X
id,Mortal Kombat X,Mortal Kombat X
hu,Mortal Kombat X,Mortal Kombat X
vi,Mortal Kombat X,Mortal Kombat X
fi,Mortal Kombat X,Mortal Kombat X
nl,Mortal Kombat X,Mortal Kombat X
sv,Mortal Kombat X,Mortal Kombat X
ko,모탈 컴뱃 X,Mortal Kombat X
simple,Mortal Kombat X,Mortal Kombat X
wuu,真人快打X,Mortal Kombat X
az,Mortal Kombat X,Mortal Kombat X
ckb,مۆڕتاڵ کۆمبات ئێکس,Mortal Kombat X
gl,Mortal Kombat X,Mortal Kombat X
arz,مورتال كومبات اكس,Mortal Kombat X
la,Mortal Kombat X,Mortal Kombat X
en,NBA Live 15,NBA Live 15
fr,NBA Live 15,NBA Live 15
zh,NBA LIVE 15,NBA Live 15
fi,NBA Live 15,NBA Live 15
sv,NBA Live 15,NBA Live 15
arz,نبا ليڤ 15,NBA Live 15
en,Civilization Revolution 2,Civilization Revolution 2
it,Civilization Revolution 2,Civilization Revolution 2
de,Civilization Revolution 2,Civilization Revolution 2
fr,Civilization Revolution 2,Civilization Revolution 2
zh,文明变革2,Civilization Revolution 2
fi,Civilization Revolution 2,Civilization Revolution 2
arz,سيڤيليزاتيون ريڤولوتيون 2,Civilization Revolution 2
it,Psycosissimo,Psycosissimo
en,Psycosissimo,Psycosissimo
fr,"C'est parti, mon kiki",Psycosissimo
cy,Psycosissimo,Psycosissimo
en,Punch Line,Punch Line
ja,パンチライン (アニメ),Punch Line
es,Punch Line,Punch Line
zh,Punch Line,Punch Line
it,Punch Line,Punch Line
fr,Punch Line (anime),Punch Line
uk,Punch Line,Punch Line
ko,펀치라인,Punch Line
sv,Punch Line,Punch Line
en,HuniePop,HuniePop
es,HuniePop,HuniePop
ru,HuniePop,HuniePop
fr,HuniePop,HuniePop
it,HuniePop,HuniePop
zh,HuniePop,HuniePop
ja,HuniePop,HuniePop
nl,HuniePop,HuniePop
ko,허니팝,HuniePop
ca,HuniePop,HuniePop
arz,هونيپوپ,HuniePop
en,Winterfox,Winterfox
en,Amazing Princess Sarah,Amazing Princess Sarah
arz,امازينج پرينسيس ساراه,Amazing Princess Sarah
en,Legend of Makai,Legend of Makai
ja,魔魁伝説,Legend of Makai
en,Genesis (tournament),Genesis (tournament)
en,Adventures of Mana,Adventures of Mana
fr,Adventures of Mana,Adventures of Mana
it,Adventures of Mana,Adventures of Mana
zh,聖劍傳說 -最終幻想外傳-,Adventures of Mana
ko,성검전설 -파이널 판타지 외전- (2016년 비디오 게임),Adventures of Mana
arz,مغامرات مانا,Adventures of Mana
en,Commander Keen in Invasion of the Vorticons,Commander Keen in Invasion of the Vorticons
ru,Commander Keen in Invasion of the Vorticons,Commander Keen in Invasion of the Vorticons
zh,指挥官基恩之沃提康入侵,Commander Keen in Invasion of the Vorticons
id,Commander Keen in Invasion of the Vorticons,Commander Keen in Invasion of the Vorticons
en,Avadon 3: The Warborn,Avadon 3: The Warborn
en,Star Wars: Pit Droids,Star Wars: Pit Droids
en,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
es,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
pt,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
ru,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
ja,ウイニングイレブン 2019,Pro Evolution Soccer 2019
it,PES 2019,Pro Evolution Soccer 2019
fr,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
tr,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
pl,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
zh,實況足球2019,Pro Evolution Soccer 2019
ko,프로 에볼루션 사커 2019,Pro Evolution Soccer 2019
ast,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
de,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
arz,پرو ايڤولوشن سوكر 2019,Pro Evolution Soccer 2019
lld,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
ny,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
sw,Pro Evolution Soccer 2019,Pro Evolution Soccer 2019
en,Y2K: The Game,Y2K: The Game
ru,Y2K: The Game,Y2K: The Game
nl,Y2K The Game,Y2K: The Game
en,Freedom in the Galaxy,Freedom in the Galaxy
fr,Freedom in the Galaxy,Freedom in the Galaxy
en,Reah: Face the Unknown,Reah: Face the Unknown
pl,Reah: Zmierz się z nieznanym,Reah: Face the Unknown
fr,Reah: Face the Unknown,Reah: Face the Unknown
en,Seed (upcoming video game),Seed (upcoming video game)
en,Slay the Spire,Slay the Spire
zh,杀戮尖塔,Slay the Spire
ja,Slay the Spire,Slay the Spire
ru,Slay the Spire,Slay the Spire
fr,Slay the Spire,Slay the Spire
es,Slay the Spire,Slay the Spire
it,Slay the Spire,Slay the Spire
pt,Slay the Spire,Slay the Spire
ko,슬레이 더 스파이어,Slay the Spire
eo,Slay the Spire,Slay the Spire
en,Gravel (video game),Gravel (video game)
ru,Gravel,Gravel (video game)
fr,Gravel (jeu vidéo),Gravel (video game)
cs,Polda (herní série),Polda
en,Polda,Polda
sk,Polda (počítačová hra),Polda
en,The Liar Princess and the Blind Prince,The Liar Princess and the Blind Prince
ja,嘘つき姫と盲目王子,The Liar Princess and the Blind Prince
zh,說謊公主與盲眼王子,The Liar Princess and the Blind Prince
de,The Liar Princess and the Blind Prince,The Liar Princess and the Blind Prince
ko,거짓말쟁이 공주와 눈 먼 왕자,The Liar Princess and the Blind Prince
en,CyberSpeed,CyberSpeed
en,Scarfman,Scarfman
en,Kyle Steyn,Kyle Steyn
fr,Kyle Steyn,Kyle Steyn
ja,カイル・ステイン,Kyle Steyn
en,2018 San Francisco Shock season,2018 San Francisco Shock season
zh,滔搏电子竞技俱乐部,Top Esports
en,Top Esports,Top Esports
vi,Top Esports,Top Esports
en,Peter von Gomm,Peter von Gomm
ja,ピーター・ヴァン・ガーム,Peter von Gomm
af,Peter von Gomm,Peter von Gomm
en,Goal! Goal! Goal!,Goal! Goal! Goal!
es,Goal! Goal! Goal!,Goal! Goal! Goal!
fr,Goal! Goal! Goal!,Goal! Goal! Goal!
gl,Goal! Goal! Goal!,Goal! Goal! Goal!
en,League of Legends: Wild Rift,League of Legends: Wild Rift
ru,League of Legends: Wild Rift,League of Legends: Wild Rift
zh,英雄联盟：激斗峡谷,League of Legends: Wild Rift
vi,Liên Minh Huyền Thoại: Tốc Chiến,League of Legends: Wild Rift
es,League of Legends: Wild Rift,League of Legends: Wild Rift
fr,League of Legends: Wild Rift,League of Legends: Wild Rift
pt,League of Legends: Wild Rift,League of Legends: Wild Rift
id,League of Legends: Wild Rift,League of Legends: Wild Rift
it,League of Legends: Wild Rift,League of Legends: Wild Rift
de,League of Legends: Wild Rift,League of Legends: Wild Rift
ko,리그 오브 레전드: 와일드 리프트,League of Legends: Wild Rift
tr,League of Legends: Wild Rift,League of Legends: Wild Rift
th,ลีกออฟเลเจ็นดส์: ไวลด์ริฟต์,League of Legends: Wild Rift
cs,League of Legends: Wild Rift,League of Legends: Wild Rift
tl,League of Legends: Wild Rift,League of Legends: Wild Rift
bg,League of Legends: Wild Rift,League of Legends: Wild Rift
ms,League of Legends: Wild Rift,League of Legends: Wild Rift
az,League of Legends: Wild Rift,League of Legends: Wild Rift
arz,ليج اوف ليجيندز:وايلد ريفت,League of Legends: Wild Rift
ceb,League of Legends: Wild Rift,League of Legends: Wild Rift
lld,League of Legends: Wild Rift,League of Legends: Wild Rift
en,MIDI Maze,MIDI Maze
de,MIDI Maze,MIDI Maze
fr,MIDI Maze,MIDI Maze
it,MIDI Maze,MIDI Maze
el,MIDI Maze,MIDI Maze
sv,MIDI Maze,MIDI Maze
en,Risk (game),Risk (game)
de,Risiko (Spiel),Risk (game)
fr,Risk,Risk (game)
es,Risk,Risk (game)
pt,Risco (jogo),Risk (game)
ru,Риск (настольная игра),Risk (game)
it,Risk (gioco),Risk (game)
sr,Ризико (игра),Risk (game)
hr,Rizik (igra),Risk (game)
zh,戰國風雲,Risk (game)
sv,Risk (spel),Risk (game)
ja,リスク (ボードゲーム),Risk (game)
pl,Ryzyko (gra),Risk (game)
sh,Rizik (igra),Risk (game)
fi,Risk (peli),Risk (game)
el,Ρισκ (παιχνίδι),Risk (game)
hu,Rizikó,Risk (game)
da,Risk,Risk (game)
nl,Risk (bordspel),Risk (game)
uk,Ризик (гра),Risk (game)
tr,Risk (oyun),Risk (game)
ca,Risk,Risk (game)
simple,Risk (game),Risk (game)
no,Risk,Risk (game)
lt,Risk (žaidimas),Risk (game)
th,ริสก์,Risk (game)
af,Risk,Risk (game)
eu,Risk,Risk (game)
la,Periculum (ludus),Risk (game)
sq,Risiko,Risk (game)
en,Dr. Mario,Dr. Mario
ja,ドクターマリオ,Dr. Mario
es,Dr. Mario,Dr. Mario
ru,Dr. Mario,Dr. Mario
de,Dr. Mario,Dr. Mario
it,Dr. Mario,Dr. Mario
fr,Dr. Mario (jeu vidéo),Dr. Mario
pt,Dr. Mario,Dr. Mario
zh,马力欧医生,Dr. Mario
pl,Dr. Mario,Dr. Mario
sv,Dr. Mario,Dr. Mario
tr,Dr. Mario,Dr. Mario
cs,Dr. Mario,Dr. Mario
fi,Dr. Mario (videopeli),Dr. Mario
ro,Dr. Mario,Dr. Mario
ca,Dr. Mario,Dr. Mario
uk,Dr. Mario,Dr. Mario
el,Dr. Mario,Dr. Mario
ko,닥터마리오,Dr. Mario
simple,Dr. Mario,Dr. Mario
arz,دكتور ماريو,Dr. Mario
