lang,topic,topic_in_English
en,Talking Angela,Talking Angela
ru,Говорящая Анджела,Talking Angela
uk,Talking Angela,Talking Angela
vi,Talking Angela,Talking Angela
fr,Talking Angela,Talking Angela
en,Lucas Pope,Lucas Pope
fr,Lucas Pope,Lucas Pope
ru,"Поуп, Лукас",Lucas Pope
es,Lucas Pope,Lucas Pope
de,Lucas Pope,Lucas Pope
zh,盧卡斯·波普,Lucas Pope
pt,Lucas Pope,Lucas Pope
tr,Lucas Pope,Lucas Pope
ko,루카스 포프,Lucas Pope
nl,Lucas Pope,Lucas Pope
arz,لوكاس بوب,Lucas Pope
en,Ned Lerner,Ned Lerner
en,Piano City,Piano City
en,Shadowrun: Hong Kong,Shadowrun: Hong Kong
fr,Shadowrun: Hong Kong,Shadowrun: Hong Kong
arz,شادورون: هونج كونج,Shadowrun: Hong Kong
en,Brogue (video game),Brogue (video game)
en,Need for Speed (2015 video game),Need for Speed (2015 video game)
ru,"Need for Speed (игра, 2015)",Need for Speed (2015 video game)
es,Need for Speed (videojuego de 2015),Need for Speed (2015 video game)
it,Need for Speed (2015),Need for Speed (2015 video game)
pl,Need for Speed (gra komputerowa 2015),Need for Speed (2015 video game)
pt,Need for Speed (jogo eletrônico de 2015),Need for Speed (2015 video game)
ja,ニード・フォー・スピード (2015),Need for Speed (2015 video game)
de,Need for Speed (Computerspiel),Need for Speed (2015 video game)
fr,"Need for Speed (jeu vidéo, 2015)",Need for Speed (2015 video game)
uk,Need for Speed (2015),Need for Speed (2015 video game)
zh,极品飞车 (2015年游戏),Need for Speed (2015 video game)
tr,Need for Speed (2015 video oyunu),Need for Speed (2015 video game)
nl,Need for Speed (2015),Need for Speed (2015 video game)
id,Need for Speed (permainan video 2015),Need for Speed (2015 video game)
hu,"Need for Speed (videójáték, 2015)",Need for Speed (2015 video game)
fi,Need for Speed (vuoden 2015 videopeli),Need for Speed (2015 video game)
cs,"Need for Speed (videohra, 2015)",Need for Speed (2015 video game)
th,นีดฟอร์สปีด (วิดีโอเกม พ.ศ. 2558),Need for Speed (2015 video game)
vi,Need for Speed (2015),Need for Speed (2015 video game)
lt,Need for Speed (2015 kompiuterinis žaidimas),Need for Speed (2015 video game)
sv,"Need for Speed (datorspel, 2015)",Need for Speed (2015 video game)
ko,니드 포 스피드 (2015년 비디오 게임),Need for Speed (2015 video game)
zh-yue,極品飛車,Need for Speed (2015 video game)
arz,نيد فور سبيد (فيديو لعب 2015),Need for Speed (2015 video game)
en,Zombicide,Zombicide
de,Zombicide,Zombicide
fr,Zombicide,Zombicide
pt,Zombicide,Zombicide
es,Zombicide,Zombicide
br,Zombicide,Zombicide
en,Far Cry Primal,Far Cry Primal
ru,Far Cry Primal,Far Cry Primal
es,Far Cry Primal,Far Cry Primal
it,Far Cry Primal,Far Cry Primal
de,Far Cry Primal,Far Cry Primal
fr,Far Cry Primal,Far Cry Primal
pt,Far Cry Primal,Far Cry Primal
pl,Far Cry Primal,Far Cry Primal
ja,ファークライ プライマル,Far Cry Primal
zh,孤岛惊魂：原始杀戮,Far Cry Primal
tr,Far Cry Primal,Far Cry Primal
cs,Far Cry Primal,Far Cry Primal
nl,Far Cry Primal,Far Cry Primal
uk,Far Cry Primal,Far Cry Primal
sv,Far Cry Primal,Far Cry Primal
ro,Far Cry Primal,Far Cry Primal
hu,Far Cry Primal,Far Cry Primal
fi,Far Cry Primal,Far Cry Primal
vi,Far Cry Primal,Far Cry Primal
ca,Far Cry Primal,Far Cry Primal
hy,Far Cry Primal,Far Cry Primal
el,Far Cry Primal,Far Cry Primal
ko,파 크라이 프라이멀,Far Cry Primal
lt,Far Cry Primal,Far Cry Primal
ast,Far Cry Primal,Far Cry Primal
arz,فار كراى پرايمال,Far Cry Primal
ckb,فار کرای پرایمل,Far Cry Primal
gl,Far Cry Primal,Far Cry Primal
en,Burning Angels,Burning Angels
fr,Burning Angels,Burning Angels
en,Echo Fox,Echo Fox
en,Pillars of Eternity: The White March,Pillars of Eternity: The White March
zh,永恒之柱：白色远征,Pillars of Eternity: The White March
tr,Pillars of Eternity: The White March,Pillars of Eternity: The White March
en,Kendall and Kylie,Kendall and Kylie
en,Aui 2000,Aui 2000
de,Kurtis Ling,Aui 2000
id,Kurtis Ling,Aui 2000
en,Civilization VI,Civilization VI
ru,Sid Meier’s Civilization VI,Civilization VI
fr,Civilization VI,Civilization VI
de,Civilization VI,Civilization VI
zh,文明帝國VI,Civilization VI
es,Civilization VI,Civilization VI
it,Civilization VI,Civilization VI
pl,Civilization VI,Civilization VI
ja,シヴィライゼーションVI,Civilization VI
uk,Civilization VI,Civilization VI
pt,Civilization VI,Civilization VI
nl,Civilization VI,Civilization VI
fi,Civilization VI,Civilization VI
tr,Civilization VI,Civilization VI
sv,Civilization VI,Civilization VI
ko,시드 마이어의 문명 VI,Civilization VI
vi,Civilization VI,Civilization VI
no,Civilization VI,Civilization VI
th,ซิวิไลเซชัน VI,Civilization VI
id,Civilization VI,Civilization VI
ro,Civilization VI,Civilization VI
zh-yue,文明帝國VI,Civilization VI
lt,Civilization VI,Civilization VI
wuu,文明VI,Civilization VI
hy,Civilization VI,Civilization VI
arz,سيڤيليزاتيون ڤى (فيديو لعب),Civilization VI
lmo,Civilization VI,Civilization VI
eo,Civilization VI,Civilization VI
en,NASCAR Heat Evolution,NASCAR Heat Evolution
zh,热力纳斯卡 进化,NASCAR Heat Evolution
ja,BanG Dream!,BanG Dream!
zh,BanG Dream!,BanG Dream!
en,BanG Dream!,BanG Dream!
es,BanG Dream!,BanG Dream!
id,BanG Dream!,BanG Dream!
ru,BanG Dream!,BanG Dream!
ko,BanG Dream!,BanG Dream!
vi,BanG Dream!,BanG Dream!
fr,BanG Dream!,BanG Dream!
de,BanG Dream!,BanG Dream!
it,BanG Dream!,BanG Dream!
th,บันโดริ,BanG Dream!
tr,BanG Dream!,BanG Dream!
az,BanG Dream!,BanG Dream!
en,Arizona Sunshine,Arizona Sunshine
ja,アリゾナ・サンシャイン,Arizona Sunshine
nl,Arizona Sunshine,Arizona Sunshine
lld,Arizona Sunshine,Arizona Sunshine
vi,Arizona Sunshine,Arizona Sunshine
en,The Witcher Battle Arena,The Witcher Battle Arena
fr,The Witcher Battle Arena,The Witcher Battle Arena
uk,The Witcher Battle Arena,The Witcher Battle Arena
tr,The Witcher Battle Arena,The Witcher Battle Arena
en,Flusha,Flusha
fi,Flusha,Flusha
id,Robin Rönnquist,Flusha
en,Q*bert (1999 video game),Q*bert (1999 video game)
en,Danger Zone (video game),Danger Zone (video game)
ru,Danger Zone (игра),Danger Zone (video game)
arz,دانجير زون,Danger Zone (video game)
en,Taehoon Oh,Taehoon Oh
es,Taehoon Oh,Taehoon Oh
en,ELEAGUE Major: Boston 2018,ELEAGUE Major: Boston 2018
ru,ELEAGUE Major: Boston 2018,ELEAGUE Major: Boston 2018
de,Eleague Major: Boston 2018,ELEAGUE Major: Boston 2018
pl,Eleague Major: Boston 2018,ELEAGUE Major: Boston 2018
tr,ELEAGUE Major Boston 2018,ELEAGUE Major: Boston 2018
