lang,topic,topic_in_English
en,Deus Ex (video game),Deus Ex (video game)
ru,Deus Ex,Deus Ex (video game)
de,Deus Ex,Deus Ex (video game)
fr,Deus Ex (jeu vidéo),Deus Ex (video game)
es,Deus Ex,Deus Ex (video game)
it,Deus Ex,Deus Ex (video game)
ja,Deus Ex,Deus Ex (video game)
pl,Deus Ex,Deus Ex (video game)
pt,Deus Ex (jogo eletrônico),Deus Ex (video game)
uk,Deus Ex,Deus Ex (video game)
fi,Deus Ex,Deus Ex (video game)
zh,杀出重围,Deus Ex (video game)
cs,Deus Ex,Deus Ex (video game)
nl,Deus Ex,Deus Ex (video game)
sv,Deus Ex,Deus Ex (video game)
hu,Deus Ex,Deus Ex (video game)
vi,Deus Ex,Deus Ex (video game)
tr,Deus Ex (video oyunu),Deus Ex (video game)
lt,Deus Ex,Deus Ex (video game)
simple,Deus Ex (video game),Deus Ex (video game)
sr,Deus Ex,Deus Ex (video game)
arz,ديوس اكس,Deus Ex (video game)
bg,Deus Ex,Deus Ex (video game)
ko,데이어스 엑스 (비디오 게임),Deus Ex (video game)
sl,Deus Ex,Deus Ex (video game)
br,Deus Ex,Deus Ex (video game)
lld,Deus Ex,Deus Ex (video game)
wuu,杀出重围,Deus Ex (video game)
en,SameGame,SameGame
ja,さめがめ,SameGame
de,SameGame,SameGame
hu,SameGame,SameGame
es,SameGame,SameGame
it,SameGame,SameGame
sr,SameGame,SameGame
en,Klondike (solitaire),Klondike (solitaire)
ru,Косынка (пасьянс),Klondike (solitaire)
fr,Solitaire (patience),Klondike (solitaire)
es,Solitario de cartas,Klondike (solitaire)
ja,クロンダイク,Klondike (solitaire)
zh,接龍 (紙牌遊戲),Klondike (solitaire)
it,Klondike (solitario),Klondike (solitaire)
sv,Las Vegas (patiens),Klondike (solitaire)
fi,Klondike-pasianssi,Klondike (solitaire)
de,Klondike (Solitaire),Klondike (solitaire)
da,7-kabale,Klondike (solitaire)
ko,클론다이크,Klondike (solitaire)
vi,Klondike (trò chơi),Klondike (solitaire)
pt,Klondike (solitaire),Klondike (solitaire)
af,Klondike,Klondike (solitaire)
eo,Klondiko,Klondike (solitaire)
en,Mario Party (video game),Mario Party (video game)
ja,マリオパーティ,Mario Party (video game)
es,Mario Party (videojuego),Mario Party (video game)
fr,Mario Party (jeu vidéo),Mario Party (video game)
ru,Mario Party,Mario Party (video game)
it,Mario Party,Mario Party (video game)
nl,Mario Party (spel),Mario Party (video game)
sv,Mario Party,Mario Party (video game)
