lang,topic,topic_in_English
en,J. K. Greye Software,J. K. Greye Software
en,Otogi: Myth of Demons,Otogi: Myth of Demons
ja,O・TO・GI 〜御伽〜,Otogi: Myth of Demons
fr,Otogi: Myth of Demons,Otogi: Myth of Demons
uk,Otogi: Myth of Demons,Otogi: Myth of Demons
ko,오토기 (비디오 게임),Otogi: Myth of Demons
lld,Otogi: Myth of Demons,Otogi: Myth of Demons
en,The Evil Dead (video game),The Evil Dead (video game)
ru,The Evil Dead (игра),The Evil Dead (video game)
it,The Evil Dead (videogioco),The Evil Dead (video game)
lld,The Evil Dead,The Evil Dead (video game)
en,Pro Pinball: Big Race USA,Pro Pinball: Big Race USA
de,Pro Pinball: Big Race USA,Pro Pinball: Big Race USA
pl,Pro Pinball: Big Race USA,Pro Pinball: Big Race USA
es,Pro Pinball: Big Race USA,Pro Pinball: Big Race USA
en,Super Conflict,Super Conflict
it,Super Conflict,Super Conflict
sv,Super Conflict,Super Conflict
lld,Super Conflict,Super Conflict
ja,夏色の砂時計,Hourglass of Summer
en,Hourglass of Summer,Hourglass of Summer
zh,夏色的砂時計,Hourglass of Summer
lld,Hourglass of Summer,Hourglass of Summer
en,Black Knight (pinball),Black Knight (pinball)
en,WWF Super WrestleMania,WWF Super WrestleMania
ru,WWF Super WrestleMania,WWF Super WrestleMania
it,WWF Super WrestleMania,WWF Super WrestleMania
fr,WWF Super WrestleMania,WWF Super WrestleMania
sv,WWF Super Wrestlemania,WWF Super WrestleMania
arz,دبليو دبليو اف سوبر راسلمنيا,WWF Super WrestleMania
lld,WWF Super WrestleMania,WWF Super WrestleMania
pt,WWF Super Wrestlemania,WWF Super WrestleMania
en,Brain Age 2: More Training in Minutes a Day!,Brain Age 2: More Training in Minutes a Day!
ja,もっと脳を鍛える大人のDSトレーニング,Brain Age 2: More Training in Minutes a Day!
zh,川島隆太教授的DS腦力強化訓練,Brain Age 2: More Training in Minutes a Day!
it,More Brain Training del Dr. Kawashima: Quanti anni ha il tuo cervello?,Brain Age 2: More Training in Minutes a Day!
es,Más Brain Training del Dr. Kawashima ¿Cuántos años tiene tu cerebro?,Brain Age 2: More Training in Minutes a Day!
fr,Programme d'entraînement cérébral avancé du Dr Kawashima : Quel âge a votre cerveau ?,Brain Age 2: More Training in Minutes a Day!
ko,매일매일 더욱더! DS 두뇌 트레이닝,Brain Age 2: More Training in Minutes a Day!
pt,Brain Age 2: More Training in Minutes a Day!,Brain Age 2: More Training in Minutes a Day!
simple,More Brain Training from Dr. Kawashima: How Old Is Your Brain?,Brain Age 2: More Training in Minutes a Day!
sv,More Brain Training from Dr. Kawashima: How Old Is Your Brain?,Brain Age 2: More Training in Minutes a Day!
lld,Brain Age 2: More Training in Minutes a Day!,Brain Age 2: More Training in Minutes a Day!
nn,More Brain Training from Dr. Kawashima: How Old Is Your Brain?,Brain Age 2: More Training in Minutes a Day!
en,Cosmic Wars,Cosmic Wars
ja,コズミックウォーズ,Cosmic Wars
es,Cosmic Wars,Cosmic Wars
ko,코스믹 워즈,Cosmic Wars
lld,Cosmic Wars,Cosmic Wars
en,Star Wars Galaxies: Jump to Lightspeed,Star Wars Galaxies: Jump to Lightspeed
en,Nancy Drew: Secret of the Scarlet Hand,Nancy Drew: Secret of the Scarlet Hand
ru,Нэнси Дрю. Тайна алой руки,Nancy Drew: Secret of the Scarlet Hand
lld,Nancy Drew: Secret of the Scarlet Hand,Nancy Drew: Secret of the Scarlet Hand
arz,نانسى دريو: سيكريت اوف ث سكارليت هاند,Nancy Drew: Secret of the Scarlet Hand
en,Slam Tilt,Slam Tilt
sv,Slam Tilt,Slam Tilt
pl,Slam Tilt,Slam Tilt
it,Slam Tilt,Slam Tilt
en,EA Replay,EA Replay
en,Blackwell (series),Blackwell (series)
de,Blackwell (Computerspielreihe),Blackwell (series)
es,Blackwell (serie),Blackwell (series)
fr,Blackwell (série de jeux vidéo),Blackwell (series)
it,Blackwell (serie),Blackwell (series)
tr,Blackwell (seri),Blackwell (series)
en,Bomberman Quest,Bomberman Quest
ja,ボンバーマンクエスト,Bomberman Quest
es,Bomberman Quest,Bomberman Quest
fr,Bomberman Quest,Bomberman Quest
lld,Bomberman Quest,Bomberman Quest
pt,Bomberman Quest,Bomberman Quest
en,World Championship Pool 2004,World Championship Pool 2004
en,HoopWorld,HoopWorld
es,HoopWorld,HoopWorld
en,Polygon Pictures,Polygon Pictures
ja,ポリゴン・ピクチュアズ,Polygon Pictures
es,Polygon Pictures,Polygon Pictures
fr,Polygon Pictures,Polygon Pictures
id,Polygon Pictures,Polygon Pictures
ko,폴리곤 픽쳐스,Polygon Pictures
tr,Polygon Pictures,Polygon Pictures
en,Persona 2: Eternal Punishment,Persona 2: Eternal Punishment
it,Persona 2: Eternal Punishment,Persona 2: Eternal Punishment
ru,Persona 2: Eternal Punishment,Persona 2: Eternal Punishment
fr,Persona 2: Eternal Punishment,Persona 2: Eternal Punishment
zh,女神异闻录2 罚,Persona 2: Eternal Punishment
en,Brothers in Arms: D-Day,Brothers in Arms: D-Day
fr,Brothers in Arms: D-Day,Brothers in Arms: D-Day
it,Brothers in Arms: D-Day,Brothers in Arms: D-Day
de,Brothers in Arms: D-Day,Brothers in Arms: D-Day
fi,Brothers in Arms: D-Day,Brothers in Arms: D-Day
lld,Brothers in Arms: D-Day,Brothers in Arms: D-Day
ms,Brothers in Arms: D-Day,Brothers in Arms: D-Day
en,Bo Jackson Baseball,Bo Jackson Baseball
lld,Bo Jackson Baseball,Bo Jackson Baseball
hu,TV Sports: Baseball,Bo Jackson Baseball
en,Darkwind: War on Wheels,Darkwind: War on Wheels
lld,Darkwind: War on Wheels,Darkwind: War on Wheels
en,Cyberwar (video game),Cyberwar (video game)
ja,サイバーウォー,Cyberwar (video game)
lld,Cyberwar,Cyberwar (video game)
en,Music of Final Fantasy VIII,Music of Final Fantasy VIII
fr,Musique de Final Fantasy VIII,Music of Final Fantasy VIII
es,Música de Final Fantasy VIII,Music of Final Fantasy VIII
it,Final Fantasy VIII Original Soundtrack,Music of Final Fantasy VIII
el,Μουσική του Final Fantasy VIII,Music of Final Fantasy VIII
en,The Blue Marlin,The Blue Marlin
pl,Blue Marlin,The Blue Marlin
en,Starfleet Orion,Starfleet Orion
fr,Starfleet Orion,Starfleet Orion
en,Silent Debuggers,Silent Debuggers
ja,サイレントデバッガーズ,Silent Debuggers
fr,Silent Debuggers,Silent Debuggers
lld,Silent Debuggers,Silent Debuggers
en,Star Trek: ConQuest Online,Star Trek: ConQuest Online
fr,Star Trek: ConQuest Online,Star Trek: ConQuest Online
en,Fragapalooza,Fragapalooza
pt,Fragapalooza,Fragapalooza
en,Perfect Entertainment,Perfect Entertainment
fr,Perfect Entertainment,Perfect Entertainment
pl,Perfect Entertainment,Perfect Entertainment
en,Burai Fighter,Burai Fighter
fr,Burai Fighter,Burai Fighter
it,Burai Fighter,Burai Fighter
lld,Burai Fighter,Burai Fighter
sv,Burai Fighter,Burai Fighter
en,Diamant (board game),Diamant (board game)
de,Diamant (Spiel),Diamant (board game)
fr,Diamant (jeu),Diamant (board game)
ko,잉카의 황금,Diamant (board game)
en,My Hero (video game),My Hero (video game)
ja,青春スキャンダル,My Hero (video game)
fr,My Hero (jeu vidéo),My Hero (video game)
es,My Hero (videojuego),My Hero (video game)
it,My Hero (videogioco),My Hero (video game)
ko,청춘스캔들,My Hero (video game)
lld,My Hero,My Hero (video game)
en,EA Sports GameShow,EA Sports GameShow
lld,EA Sports GameShow,EA Sports GameShow
en,Liverpool (video game),Liverpool (video game)
it,Liverpool: The Computer Game,Liverpool (video game)
ru,Анабиоз: Сон разума,Cryostasis: Sleep of Reason
en,Cryostasis: Sleep of Reason,Cryostasis: Sleep of Reason
uk,Анабіоз: Сон розуму,Cryostasis: Sleep of Reason
es,Cryostasis: Sleep of Reason,Cryostasis: Sleep of Reason
it,Cryostasis: Il Sonno della Ragione,Cryostasis: Sleep of Reason
fr,Cryostasis: Sleep of Reason,Cryostasis: Sleep of Reason
pl,Cryostasis: Arktyczny sen,Cryostasis: Sleep of Reason
vi,Cryostasis: Sleep of Reason,Cryostasis: Sleep of Reason
az,Cryostasis: Sleep of Reason,Cryostasis: Sleep of Reason
lld,Cryostasis: Sleep of Reason,Cryostasis: Sleep of Reason
en,Record of Lodoss War,Record of Lodoss War
ja,ロードス島戦記,Record of Lodoss War
zh,羅德斯島戰記,Record of Lodoss War
es,Record of Lodoss War,Record of Lodoss War
fr,Les Chroniques de la guerre de Lodoss,Record of Lodoss War
pt,The Record of Lodoss War,Record of Lodoss War
ru,Record of Lodoss War,Record of Lodoss War
de,Record of Lodoss War,Record of Lodoss War
it,Record of Lodoss War,Record of Lodoss War
pl,Kronika wojny na Lodoss,Record of Lodoss War
ko,로도스도 전기,Record of Lodoss War
sv,Record of Lodoss War,Record of Lodoss War
ca,La guerra de Lodoss,Record of Lodoss War
no,Record of Lodoss War,Record of Lodoss War
en,Kaan: Barbarian's Blade,Kaan: Barbarian's Blade
fr,Kaan: Barbarian's Blade,Kaan: Barbarian's Blade
en,Space Tanks,Space Tanks
en,Executive Suite (video game),Executive Suite (video game)
ru,КРИ (конференция),Russian Game Developers Conference
en,Russian Game Developers Conference,Russian Game Developers Conference
th,การประชุมผู้พัฒนาวิดีโอเกมรัสเซีย,Russian Game Developers Conference
en,Beach Volley,Beach Volley
fr,Beach Volley (jeu vidéo),Beach Volley
lld,Beach Volley,Beach Volley
nl,Beach Volley,Beach Volley
en,Aquia (video game),Aquia (video game)
lld,Aquia,Aquia (video game)
en,Space Ark,Space Ark
arz,سپاس ارك,Space Ark
lld,Space Ark,Space Ark
zh,1/2王子,1/2 Prince
en,1/2 Prince,1/2 Prince
fr,1/2 Prince,1/2 Prince
ru,½ Prince,1/2 Prince
