lang,topic,topic_in_English
en,ColecoVision,ColecoVision
fr,ColecoVision,ColecoVision
ja,コレコビジョン,ColecoVision
es,ColecoVision,ColecoVision
de,ColecoVision,ColecoVision
it,ColecoVision,ColecoVision
ru,ColecoVision,ColecoVision
pt,ColecoVision,ColecoVision
nl,ColecoVision,ColecoVision
pl,ColecoVision,ColecoVision
zh,ColecoVision,ColecoVision
fi,ColecoVision,ColecoVision
sv,Colecovision,ColecoVision
ko,콜레코비전,ColecoVision
tr,ColecoVision,ColecoVision
simple,ColecoVision,ColecoVision
uk,ColecoVision,ColecoVision
hr,Colecovision,ColecoVision
ast,ColecoVision,ColecoVision
ca,ColecoVision,ColecoVision
lt,ColecoVision,ColecoVision
ms,ColecoVision,ColecoVision
lmo,ColecoVision,ColecoVision
wuu,ColecoVision,ColecoVision
an,ColecoVision,ColecoVision
arz,كوليكو فيجن,ColecoVision
ka,ColecoVision,ColecoVision
qu,ColecoVision,ColecoVision
en,Fairchild Channel F,Fairchild Channel F
fr,Fairchild Channel F,Fairchild Channel F
ru,Fairchild Channel F,Fairchild Channel F
de,Fairchild Channel F,Fairchild Channel F
ja,フェアチャイルド・チャンネルF,Fairchild Channel F
pt,Fairchild Channel F,Fairchild Channel F
es,Fairchild Channel F,Fairchild Channel F
it,Fairchild Channel F,Fairchild Channel F
pl,Fairchild Channel F,Fairchild Channel F
zh,Fairchild Channel F,Fairchild Channel F
sv,Fairchild Channel F,Fairchild Channel F
nl,Fairchild Channel F,Fairchild Channel F
fi,Fairchild Channel F,Fairchild Channel F
tr,Fairchild Channel F,Fairchild Channel F
id,Fairchild Channel F,Fairchild Channel F
simple,Fairchild Channel F,Fairchild Channel F
ms,Fairchild Channel F,Fairchild Channel F
ko,페어차일드 채널 F,Fairchild Channel F
hr,Channel F,Fairchild Channel F
be,Fairchild Channel F,Fairchild Channel F
ka,Fairchild Channel F,Fairchild Channel F
ast,Fairchild Channel F,Fairchild Channel F
lmo,Fairchild Channel F,Fairchild Channel F
wuu,Fairchild Channel F,Fairchild Channel F
en,Scotland Yard (board game),Scotland Yard (board game)
de,Scotland Yard (Spiel),Scotland Yard (board game)
it,Scotland Yard (gioco),Scotland Yard (board game)
fr,Scotland Yard (jeu),Scotland Yard (board game)
ja,スコットランドヤード (ボードゲーム),Scotland Yard (board game)
nl,Scotland Yard (bordspel),Scotland Yard (board game)
fi,Scotland Yard (lautapeli),Scotland Yard (board game)
pl,Scotland Yard (gra),Scotland Yard (board game)
da,Scotland Yard (brætspil),Scotland Yard (board game)
zh-yue,蘇格蘭場 (遊戲),Scotland Yard (board game)
en,Tetsuya Mizuguchi,Tetsuya Mizuguchi
ja,水口哲也,Tetsuya Mizuguchi
fr,Tetsuya Mizuguchi,Tetsuya Mizuguchi
es,Tetsuya Mizuguchi,Tetsuya Mizuguchi
zh,水口哲也,Tetsuya Mizuguchi
it,Tetsuya Mizuguchi,Tetsuya Mizuguchi
ko,미즈구치 데쓰야,Tetsuya Mizuguchi
pt,Tetsuya Mizuguchi,Tetsuya Mizuguchi
arz,تاتسويا ميزوجوتشى,Tetsuya Mizuguchi
hu,Mizugucsi Tecuja,Tetsuya Mizuguchi
en,Spice World (video game),Spice World (video game)
fr,Spice World (jeu vidéo),Spice World (video game)
arz,سبايس ورلد (ڤيديو جيم),Spice World (video game)
lld,Spice World,Spice World (video game)
en,Skin (computing),Skin (computing)
es,Skin (software),Skin (computing)
pt,Skin,Skin (computing)
de,Skin (Computer),Skin (computing)
it,Skin (informatica),Skin (computing)
ja,スキン (GUI),Skin (computing)
pl,Skórka (informatyka),Skin (computing)
zh,皮肤 (电脑),Skin (computing)
cs,Skin (informatika),Skin (computing)
th,สกิน,Skin (computing)
ko,스킨 (컴퓨팅),Skin (computing)
zh-yue,皮 (運算),Skin (computing)
nl,Thema (informatica),Skin (computing)
en,Custer's Revenge,Custer's Revenge
es,Custer's Revenge,Custer's Revenge
it,Custer's Revenge,Custer's Revenge
de,Custer’s Revenge,Custer's Revenge
fr,Custer's Revenge,Custer's Revenge
ja,カスターズ・リベンジ,Custer's Revenge
ru,Custer’s Revenge,Custer's Revenge
pt,Custer's Revenge,Custer's Revenge
zh,卡斯特的复仇,Custer's Revenge
ko,커스터의 복수,Custer's Revenge
nl,Custer's Revenge,Custer's Revenge
fi,Custer’s Revenge,Custer's Revenge
uk,Custer's Revenge,Custer's Revenge
simple,Custer's Revenge,Custer's Revenge
lld,Custer's Revenge,Custer's Revenge
lmo,Custer's Revenge,Custer's Revenge
en,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
ru,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
de,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
